시도명,구명,동명,면적_km2,구성비_percent,행정동_수,법정동_수
서울시,성북구,정릉4동,3.13,0.52,1.0,1
서울시,성북구,길음1동,0.79,0.13,1.0,0
서울시,성북구,길음2동,0.58,0.1,1.0,0
서울시,성북구,월곡1동,0.81,0.13,1.0,0
서울시,성북구,월곡2동,1.36,0.22,1.0,1
서울시,성북구,장위1동,0.7,0.12,1.0,0
서울시,성북구,장위2동,0.67,0.11,1.0,1
서울시,성북구,장위3동,0.65,0.11,1.0,1
서울시,성북구,성북동,2.86,0.47,1.0,2
서울시,성북구,삼선동,0.92,0.15,1.0,1
서울시,성북구,동선동,0.73,0.12,1.0,0
서울시,성북구,종암동,1.46,0.24,1.0,0
서울시,성북구,석관동,1.73,0.29,1.0,1
서울시,강북구,소계,23.6,3.9,13.0,4
서울시,강북구,번1동,0.66,0.11,1.0,1
서울시,강북구,번2동,0.95,0.16,1.0,0
서울시,강북구,번3동,1.1,0.18,1.0,0
서울시,강북구,수유1동,1.67,0.28,1.0,1
서울시,강북구,수유2동,0.57,0.09,1.0,0
서울시,강북구,수유3동,0.72,0.12,1.0,0
서울시,강북구,삼양동,0.91,0.15,1.0,0
서울시,강북구,미아동,0.93,0.15,1.0,1
서울시,강북구,송중동,1.01,0.17,1.0,0
서울시,강북구,송천동,0.9,0.15,1.0,0
서울시,강북구,삼각산동,0.62,0.1,1.0,0
서울시,강북구,우이동,10.28,1.7,1.0,1
서울시,강북구,인수동,3.28,0.54,1.0,0
서울시,도봉구,소계,20.65,3.41,14.0,4
서울시,도봉구,쌍문1동,1.24,0.2,1.0,1
서울시,도봉구,쌍문2동,0.54,0.09,1.0,0
서울시,도봉구,쌍문3동,0.5,0.08,1.0,0
서울시,도봉구,쌍문4동,0.52,0.09,1.0,0
서울시,도봉구,방학1동,0.69,0.11,1.0,1
서울시,도봉구,방학2동,0.74,0.12,1.0,0
서울시,도봉구,방학3동,2.62,0.43,1.0,0
서울시,도봉구,창1동,0.88,0.15,1.0,1
서울시,도봉구,창2동,1.05,0.17,1.0,0
서울시,도봉구,창3동,0.67,0.11,1.0,0
서울시,도봉구,창4동,0.95,0.16,1.0,0
서울시,도봉구,창5동,0.7,0.12,1.0,0
서울시,도봉구,도봉1동,8.72,1.44,1.0,1
서울시,도봉구,도봉2동,0.83,0.14,1.0,0
서울시,노원구,소계,35.44,5.86,19.0,5
서울시,노원구,월계1동,1.16,0.19,1.0,1
서울시,노원구,월계2동,1.94,0.32,1.0,0
서울시,노원구,월계3동,1.17,0.19,1.0,0
서울시,노원구,공릉2동,6.82,1.13,1.0,0
서울시,노원구,하계1동,1.55,0.26,1.0,1
서울시,노원구,하계2동,0.51,0.08,1.0,0
서울시,노원구,중계본동,1.97,0.33,1.0,0
서울시,노원구,중계1동,0.63,0.1,1.0,1
서울시,노원구,중계4동,1.7,0.28,1.0,0
서울시,노원구,상계1동,5.62,0.93,1.0,1
서울시,노원구,상계2동,0.61,0.1,1.0,0
서울시,노원구,상계5동,1.01,0.17,1.0,0
서울시,노원구,상계8동,0.67,0.11,1.0,0
서울시,노원구,상계9동,0.81,0.13,1.0,0
서울시,노원구,상계10동,0.8,0.13,1.0,0
서울시,노원구,상계3.4동,5.05,0.83,1.0,0
서울시,노원구,상계6.7동,1.11,0.18,1.0,0
서울시,노원구,중계2.3동,0.9,0.15,1.0,0
서울시,노원구,공릉1동,1.41,0.23,1.0,1
서울시,은평구,소계,29.71,4.91,16.0,11
서울시,은평구,녹번동,1.79,0.3,1.0,1
서울시,은평구,불광1동,3.13,0.52,1.0,1
서울시,은평구,갈현1동,0.97,0.16,1.0,1
서울시,은평구,갈현2동,0.96,0.16,1.0,0
서울시,은평구,구산동,1.38,0.23,1.0,1
서울시,은평구,대조동,0.85,0.14,1.0,1
서울시,은평구,응암1동,1.2,0.2,1.0,1
서울시,은평구,응암2동,0.78,0.13,1.0,0
서울시,은평구,신사1동,0.84,0.14,1.0,1
서울시,은평구,신사2동,1.0,0.17,1.0,0
서울시,은평구,증산동,0.81,0.13,1.0,1
서울시,은평구,수색동,1.29,0.21,1.0,1
서울시,은평구,진관동,11.53,1.91,1.0,1
서울시,은평구,불광2동,1.38,0.23,1.0,0
서울시,은평구,응암3동,0.63,0.1,1.0,0
서울시,은평구,역촌동,1.16,0.19,1.0,1
서울시,서대문구,소계,17.63,2.91,14.0,20
서울시,서대문구,천연동,0.97,0.16,1.0,5
서울시,서대문구,홍제1동,1.23,0.2,1.0,1
서울시,서대문구,홍제2동,1.05,0.17,1.0,0
서울시,서대문구,홍제3동,0.81,0.13,1.0,0
